#    L    TT             EE             BB             TE             PP             TP             EP          
    54    0.30229E+03    0.14149E+00    0.00000E+00   -0.46215E+01    0.99506E-07    0.91612E-03   -0.29455E-06
    55    0.30695E+03    0.15003E+00    0.00000E+00   -0.48013E+01    0.98977E-07    0.90022E-03   -0.29001E-06
    56    0.31171E+03    0.15881E+00    0.00000E+00   -0.49821E+01    0.98441E-07    0.88476E-03   -0.27627E-06
    57    0.31652E+03    0.16773E+00    0.00000E+00   -0.51636E+01    0.97899E-07    0.86972E-03   -0.25588E-06
    58    0.32137E+03    0.17678E+00    0.00000E+00   -0.53468E+01    0.97352E-07    0.85508E-03   -0.23071E-06
    59    0.32615E+03    0.18602E+00    0.00000E+00   -0.55324E+01    0.96799E-07    0.84083E-03   -0.20266E-06
    60    0.33085E+03    0.19550E+00    0.00000E+00   -0.57197E+01    0.96240E-07    0.82694E-03   -0.17362E-06
    61    0.33577E+03    0.20531E+00    0.00000E+00   -0.59080E+01    0.95677E-07    0.81340E-03   -0.14544E-06
    62    0.34033E+03    0.21545E+00    0.00000E+00   -0.60980E+01    0.95111E-07    0.80020E-03   -0.11994E-06
    63    0.34473E+03    0.22586E+00    0.00000E+00   -0.62907E+01    0.94541E-07    0.78733E-03   -0.98870E-07
    64    0.34925E+03    0.23657E+00    0.00000E+00   -0.64870E+01    0.93968E-07    0.77478E-03   -0.84025E-07
    65    0.35352E+03    0.24753E+00    0.00000E+00   -0.66877E+01    0.93394E-07    0.76254E-03   -0.77172E-07
    66    0.35781E+03    0.25868E+00    0.00000E+00   -0.68906E+01    0.92818E-07    0.75060E-03   -0.80034E-07
    67    0.36197E+03    0.27002E+00    0.00000E+00   -0.70935E+01    0.92242E-07    0.73895E-03   -0.94129E-07
    68    0.36627E+03    0.28160E+00    0.00000E+00   -0.72950E+01    0.91666E-07    0.72759E-03   -0.12092E-06
    69    0.37049E+03    0.29337E+00    0.00000E+00   -0.74938E+01    0.91089E-07    0.71649E-03   -0.16189E-06
    70    0.37475E+03    0.30538E+00    0.00000E+00   -0.76921E+01    0.90513E-07    0.70567E-03   -0.21848E-06
    71    0.37891E+03    0.31761E+00    0.00000E+00   -0.78924E+01    0.89937E-07    0.69509E-03   -0.29002E-06
    72    0.38296E+03    0.33004E+00    0.00000E+00   -0.80957E+01    0.89361E-07    0.68476E-03   -0.36729E-06
    73    0.38687E+03    0.34264E+00    0.00000E+00   -0.83022E+01    0.88786E-07    0.67467E-03   -0.43893E-06
    74    0.39065E+03    0.35539E+00    0.00000E+00   -0.85104E+01    0.88212E-07    0.66480E-03   -0.49358E-06
    75    0.39440E+03    0.36831E+00    0.00000E+00   -0.87183E+01    0.87638E-07    0.65515E-03   -0.51991E-06
    76    0.39806E+03    0.38140E+00    0.00000E+00   -0.89250E+01    0.87064E-07    0.64570E-03   -0.51054E-06
    77    0.40169E+03    0.39464E+00    0.00000E+00   -0.91305E+01    0.86491E-07    0.63645E-03   -0.47382E-06
    78    0.40533E+03    0.40807E+00    0.00000E+00   -0.93368E+01    0.85919E-07    0.62740E-03   -0.42202E-06
    79    0.40883E+03    0.42162E+00    0.00000E+00   -0.95406E+01    0.85349E-07    0.61853E-03   -0.36742E-06
    80    0.41230E+03    0.43531E+00    0.00000E+00   -0.97436E+01    0.84780E-07    0.60985E-03   -0.32227E-06
    81    0.41566E+03    0.44907E+00    0.00000E+00   -0.99470E+01    0.84213E-07    0.60135E-03   -0.29652E-06
    82    0.41898E+03    0.46294E+00    0.00000E+00   -0.10150E+02    0.83648E-07    0.59303E-03   -0.29094E-06
    83    0.42218E+03    0.47689E+00    0.00000E+00   -0.10353E+02    0.83085E-07    0.58487E-03   -0.30401E-06
    84    0.42536E+03    0.49091E+00    0.00000E+00   -0.10554E+02    0.82525E-07    0.57688E-03   -0.33422E-06
    85    0.42837E+03    0.50498E+00    0.00000E+00   -0.10754E+02    0.81968E-07    0.56906E-03   -0.38005E-06
    86    0.43128E+03    0.51911E+00    0.00000E+00   -0.10954E+02    0.81413E-07    0.56139E-03   -0.43932E-06
    87    0.43432E+03    0.53328E+00    0.00000E+00   -0.11151E+02    0.80861E-07    0.55387E-03   -0.50722E-06
    88    0.43705E+03    0.54749E+00    0.00000E+00   -0.11347E+02    0.80312E-07    0.54649E-03   -0.57825E-06
    89    0.43984E+03    0.56173E+00    0.00000E+00   -0.11543E+02    0.79766E-07    0.53926E-03   -0.64694E-06
    90    0.44254E+03    0.57598E+00    0.00000E+00   -0.11736E+02    0.79223E-07    0.53217E-03   -0.70781E-06
    91    0.44508E+03    0.59021E+00    0.00000E+00   -0.11926E+02    0.78683E-07    0.52521E-03   -0.75646E-06
    92    0.44760E+03    0.60442E+00    0.00000E+00   -0.12114E+02    0.78147E-07    0.51838E-03   -0.79280E-06
    93    0.45013E+03    0.61859E+00    0.00000E+00   -0.12300E+02    0.77614E-07    0.51168E-03   -0.81781E-06
    94    0.45242E+03    0.63270E+00    0.00000E+00   -0.12483E+02    0.77084E-07    0.50511E-03   -0.83244E-06
    95    0.45472E+03    0.64675E+00    0.00000E+00   -0.12664E+02    0.76557E-07    0.49865E-03   -0.83769E-06
    96    0.45673E+03    0.66071E+00    0.00000E+00   -0.12842E+02    0.76034E-07    0.49232E-03   -0.83451E-06
    97    0.45889E+03    0.67458E+00    0.00000E+00   -0.13018E+02    0.75513E-07    0.48610E-03   -0.82389E-06
    98    0.46099E+03    0.68835E+00    0.00000E+00   -0.13190E+02    0.74997E-07    0.47999E-03   -0.80679E-06
    99    0.46289E+03    0.70198E+00    0.00000E+00   -0.13360E+02    0.74483E-07    0.47400E-03   -0.78419E-06
   100    0.46481E+03    0.71548E+00    0.00000E+00   -0.13525E+02    0.73974E-07    0.46811E-03   -0.75705E-06
   101    0.46661E+03    0.72890E+00    0.00000E+00   -0.13688E+02    0.73467E-07    0.46233E-03   -0.72633E-06
   102    0.46865E+03    0.74210E+00    0.00000E+00   -0.13848E+02    0.72964E-07    0.45665E-03   -0.69302E-06
   103    0.47036E+03    0.75516E+00    0.00000E+00   -0.14006E+02    0.72465E-07    0.45107E-03   -0.65807E-06
   104    0.47203E+03    0.76806E+00    0.00000E+00   -0.14158E+02    0.71969E-07    0.44559E-03   -0.62246E-06
