#    L    TT             EE             TE             PP             TP          
    74    0.39065E+03    0.35539E+00   -0.85104E+01    0.40081E+07    0.11158E+05
    75    0.39440E+03    0.36831E+00   -0.87183E+01    0.39834E+07    0.10999E+05
    76    0.39806E+03    0.38140E+00   -0.89250E+01    0.39587E+07    0.10843E+05
    77    0.40169E+03    0.39464E+00   -0.91305E+01    0.39340E+07    0.10690E+05
    78    0.40533E+03    0.40807E+00   -0.93368E+01    0.39093E+07    0.10541E+05
    79    0.40883E+03    0.42162E+00   -0.95406E+01    0.38846E+07    0.10394E+05
    80    0.41230E+03    0.43531E+00   -0.97436E+01    0.38599E+07    0.10251E+05
    81    0.41566E+03    0.44907E+00   -0.99470E+01    0.38352E+07    0.10110E+05
    82    0.41898E+03    0.46294E+00   -0.10150E+02    0.38107E+07    0.99725E+04
    83    0.42218E+03    0.47689E+00   -0.10353E+02    0.37861E+07    0.98375E+04
    84    0.42536E+03    0.49091E+00   -0.10554E+02    0.37617E+07    0.97052E+04
    85    0.42837E+03    0.50498E+00   -0.10754E+02    0.37373E+07    0.95755E+04
    86    0.43128E+03    0.51911E+00   -0.10954E+02    0.37130E+07    0.94484E+04
    87    0.43432E+03    0.53328E+00   -0.11151E+02    0.36888E+07    0.93237E+04
    88    0.43705E+03    0.54749E+00   -0.11347E+02    0.36647E+07    0.92013E+04
    89    0.43984E+03    0.56173E+00   -0.11543E+02    0.36407E+07    0.90813E+04
    90    0.44254E+03    0.57598E+00   -0.11736E+02    0.36168E+07    0.89635E+04
    91    0.44508E+03    0.59021E+00   -0.11926E+02    0.35930E+07    0.88479E+04
    92    0.44760E+03    0.60442E+00   -0.12114E+02    0.35694E+07    0.87344E+04
    93    0.45013E+03    0.61859E+00   -0.12300E+02    0.35459E+07    0.86230E+04
    94    0.45242E+03    0.63270E+00   -0.12483E+02    0.35224E+07    0.85136E+04
    95    0.45472E+03    0.64675E+00   -0.12664E+02    0.34991E+07    0.84062E+04
    96    0.45673E+03    0.66071E+00   -0.12842E+02    0.34760E+07    0.83008E+04
    97    0.45889E+03    0.67458E+00   -0.13018E+02    0.34529E+07    0.81972E+04
    98    0.46099E+03    0.68835E+00   -0.13190E+02    0.34300E+07    0.80955E+04
    99    0.46289E+03    0.70198E+00   -0.13360E+02    0.34072E+07    0.79956E+04
   100    0.46481E+03    0.71548E+00   -0.13525E+02    0.33846E+07    0.78975E+04
   101    0.46661E+03    0.72890E+00   -0.13688E+02    0.33621E+07    0.78011E+04
   102    0.46865E+03    0.74210E+00   -0.13848E+02    0.33397E+07    0.77064E+04
   103    0.47036E+03    0.75516E+00   -0.14006E+02    0.33175E+07    0.76134E+04
   104    0.47203E+03    0.76806E+00   -0.14158E+02    0.32954E+07    0.75219E+04
   105    0.47359E+03    0.78075E+00   -0.14307E+02    0.32734E+07    0.74320E+04
   106    0.47512E+03    0.79329E+00   -0.14453E+02    0.32516E+07    0.73436E+04
   107    0.47633E+03    0.80554E+00   -0.14595E+02    0.32299E+07    0.72566E+04
   108    0.47766E+03    0.81758E+00   -0.14733E+02    0.32084E+07    0.71711E+04
   109    0.47890E+03    0.82932E+00   -0.14867E+02    0.31871E+07    0.70870E+04
   110    0.47998E+03    0.84077E+00   -0.14996E+02    0.31659E+07    0.70042E+04
   111    0.48097E+03    0.85201E+00   -0.15121E+02    0.31448E+07    0.69227E+04
   112    0.48189E+03    0.86297E+00   -0.15242E+02    0.31239E+07    0.68424E+04
   113    0.48281E+03    0.87363E+00   -0.15358E+02    0.31032E+07    0.67634E+04
   114    0.48360E+03    0.88394E+00   -0.15469E+02    0.30826E+07    0.66857E+04
   115    0.48440E+03    0.89404E+00   -0.15575E+02    0.30622E+07    0.66091E+04
   116    0.48502E+03    0.90370E+00   -0.15676E+02    0.30419E+07    0.65337E+04
   117    0.48575E+03    0.91300E+00   -0.15772E+02    0.30218E+07    0.64595E+04
   118    0.48645E+03    0.92210E+00   -0.15863E+02    0.30018E+07    0.63865E+04
   119    0.48698E+03    0.93084E+00   -0.15948E+02    0.29820E+07    0.63145E+04
   120    0.48750E+03    0.93908E+00   -0.16028E+02    0.29624E+07    0.62437E+04
   121    0.48787E+03    0.94711E+00   -0.16103E+02    0.29429E+07    0.61739E+04
