#    L    TT             EE             BB             TE          
    91    0.24014E+04    0.61949E+00    0.20231E-02   -0.17514E+02
    92    0.24308E+04    0.63426E+00    0.20682E-02   -0.18136E+02
    93    0.24606E+04    0.64899E+00    0.21138E-02   -0.18762E+02
    94    0.24904E+04    0.66364E+00    0.21600E-02   -0.19392E+02
    95    0.25205E+04    0.67822E+00    0.22067E-02   -0.20025E+02
    96    0.25506E+04    0.69270E+00    0.22540E-02   -0.20660E+02
    97    0.25811E+04    0.70708E+00    0.23018E-02   -0.21298E+02
    98    0.26118E+04    0.72134E+00    0.23502E-02   -0.21936E+02
    99    0.26426E+04    0.73546E+00    0.23991E-02   -0.22577E+02
   100    0.26737E+04    0.74942E+00    0.24486E-02   -0.23217E+02
   101    0.27049E+04    0.76330E+00    0.24987E-02   -0.23858E+02
   102    0.27367E+04    0.77694E+00    0.25494E-02   -0.24498E+02
   103    0.27683E+04    0.79041E+00    0.26006E-02   -0.25138E+02
   104    0.28002E+04    0.80372E+00    0.26524E-02   -0.25775E+02
   105    0.28322E+04    0.81680E+00    0.27048E-02   -0.26410E+02
   106    0.28644E+04    0.82971E+00    0.27577E-02   -0.27043E+02
   107    0.28965E+04    0.84231E+00    0.28113E-02   -0.27673E+02
   108    0.29291E+04    0.85468E+00    0.28654E-02   -0.28300E+02
   109    0.29617E+04    0.86674E+00    0.29201E-02   -0.28922E+02
   110    0.29944E+04    0.87848E+00    0.29755E-02   -0.29538E+02
   111    0.30273E+04    0.89000E+00    0.30314E-02   -0.30150E+02
   112    0.30603E+04    0.90120E+00    0.30879E-02   -0.30756E+02
   113    0.30935E+04    0.91210E+00    0.31451E-02   -0.31356E+02
   114    0.31268E+04    0.92262E+00    0.32029E-02   -0.31949E+02
   115    0.31603E+04    0.93290E+00    0.32612E-02   -0.32533E+02
   116    0.31937E+04    0.94273E+00    0.33202E-02   -0.33110E+02
   117    0.32275E+04    0.95219E+00    0.33798E-02   -0.33678E+02
   118    0.32614E+04    0.96141E+00    0.34401E-02   -0.34237E+02
   119    0.32953E+04    0.97025E+00    0.35010E-02   -0.34785E+02
   120    0.33293E+04    0.97857E+00    0.35625E-02   -0.35323E+02
   121    0.33632E+04    0.98666E+00    0.36247E-02   -0.35850E+02
   122    0.33973E+04    0.99422E+00    0.36875E-02   -0.36366E+02
   123    0.34314E+04    0.10013E+01    0.37509E-02   -0.36870E+02
   124    0.34655E+04    0.10081E+01    0.38150E-02   -0.37360E+02
   125    0.34996E+04    0.10144E+01    0.38798E-02   -0.37838E+02
   126    0.35338E+04    0.10203E+01    0.39453E-02   -0.38302E+02
   127    0.35679E+04    0.10257E+01    0.40114E-02   -0.38753E+02
   128    0.36020E+04    0.10307E+01    0.40782E-02   -0.39189E+02
   129    0.36362E+04    0.10352E+01    0.41456E-02   -0.39610E+02
   130    0.36703E+04    0.10392E+01    0.42138E-02   -0.40015E+02
   131    0.37043E+04    0.10428E+01    0.42827E-02   -0.40405E+02
   132    0.37385E+04    0.10459E+01    0.43522E-02   -0.40777E+02
   133    0.37725E+04    0.10486E+01    0.44225E-02   -0.41134E+02
   134    0.38065E+04    0.10508E+01    0.44935E-02   -0.41471E+02
   135    0.38404E+04    0.10525E+01    0.45652E-02   -0.41792E+02
   136    0.38742E+04    0.10537E+01    0.46376E-02   -0.42092E+02
   137    0.39079E+04    0.10545E+01    0.47107E-02   -0.42374E+02
   138    0.39416E+04    0.10547E+01    0.47846E-02   -0.42637E+02
   139    0.39750E+04    0.10546E+01    0.48592E-02   -0.42879E+02
   140    0.40084E+04    0.10539E+01    0.49346E-02   -0.43102E+02
   141    0.40416E+04    0.10527E+01    0.50108E-02   -0.43302E+02
   142    0.40748E+04    0.10511E+01    0.50877E-02   -0.43483E+02
   143    0.41078E+04    0.10491E+01    0.51653E-02   -0.43642E+02
   144    0.41407E+04    0.10465E+01    0.52438E-02   -0.43779E+02
   145    0.41733E+04    0.10436E+01    0.53230E-02   -0.43895E+02
   146    0.42060E+04    0.10402E+01    0.54030E-02   -0.43988E+02
   147    0.42384E+04    0.10364E+01    0.54838E-02   -0.44057E+02
   148    0.42705E+04    0.10321E+01    0.55654E-02   -0.44105E+02
   149    0.43026E+04    0.10274E+01    0.56478E-02   -0.44128E+02
   150    0.43343E+04    0.10223E+01    0.57310E-02   -0.44126E+02
   151    0.43659E+04    0.10168E+01    0.58150E-02   -0.44102E+02
   152    0.43972E+04    0.10109E+01    0.58998E-02   -0.44053E+02
   153    0.44283E+04    0.10046E+01    0.59854E-02   -0.43977E+02
   154    0.44592E+04    0.99793E+00    0.60719E-02   -0.43877E+02
   155    0.44898E+04    0.99097E+00    0.61592E-02   -0.43753E+02
   156    0.45200E+04    0.98367E+00    0.62473E-02   -0.43603E+02
   157    0.45502E+04    0.97604E+00    0.63363E-02   -0.43427E+02
   158    0.45800E+04    0.96816E+00    0.64261E-02   -0.43226E+02
   159    0.46095E+04    0.95987E+00    0.65167E-02   -0.42999E+02
   160    0.46387E+04    0.95133E+00    0.66082E-02   -0.42745E+02
   161    0.46677E+04    0.94262E+00    0.67005E-02   -0.42465E+02
   162    0.46964E+04    0.93358E+00    0.67937E-02   -0.42160E+02
   163    0.47249E+04    0.92430E+00    0.68877E-02   -0.41828E+02
   164    0.47529E+04    0.91484E+00    0.69825E-02   -0.41470E+02
   165    0.47808E+04    0.90514E+00    0.70782E-02   -0.41084E+02
   166    0.48083E+04    0.89534E+00    0.71748E-02   -0.40673E+02
   167    0.48356E+04    0.88523E+00    0.72721E-02   -0.40235E+02
   168    0.48624E+04    0.87518E+00    0.73704E-02   -0.39770E+02
   169    0.48889E+04    0.86488E+00    0.74694E-02   -0.39278E+02
   170    0.49150E+04    0.85458E+00    0.75693E-02   -0.38759E+02
   171    0.49406E+04    0.84425E+00    0.76700E-02   -0.38212E+02
   172    0.49659E+04    0.83385E+00    0.77716E-02   -0.37638E+02
   173    0.49907E+04    0.82336E+00    0.78739E-02   -0.37038E+02
   174    0.50151E+04    0.81308E+00    0.79771E-02   -0.36410E+02
   175    0.50391E+04    0.80272E+00    0.80811E-02   -0.35755E+02
   176    0.50626E+04    0.79251E+00    0.81860E-02   -0.35072E+02
   177    0.50856E+04    0.78236E+00    0.82916E-02   -0.34363E+02
   178    0.51082E+04    0.77251E+00    0.83980E-02   -0.33627E+02
   179    0.51303E+04    0.76265E+00    0.85053E-02   -0.32864E+02
   180    0.51520E+04    0.75302E+00    0.86133E-02   -0.32074E+02
   181    0.51732E+04    0.74362E+00    0.87221E-02   -0.31259E+02
   182    0.51939E+04    0.73451E+00    0.88317E-02   -0.30417E+02
