#    L    TT             EE             BB             TE          
    90    0.44253E+03    0.57730E+00    0.15889E-02   -0.11730E+02
    91    0.44506E+03    0.59155E+00    0.16247E-02   -0.11921E+02
    92    0.44758E+03    0.60578E+00    0.16610E-02   -0.12109E+02
    93    0.45010E+03    0.61998E+00    0.16976E-02   -0.12294E+02
    94    0.45240E+03    0.63411E+00    0.17348E-02   -0.12477E+02
    95    0.45469E+03    0.64818E+00    0.17723E-02   -0.12657E+02
    96    0.45669E+03    0.66216E+00    0.18104E-02   -0.12835E+02
    97    0.45885E+03    0.67606E+00    0.18488E-02   -0.13011E+02
    98    0.46095E+03    0.68985E+00    0.18877E-02   -0.13182E+02
    99    0.46285E+03    0.70351E+00    0.19271E-02   -0.13352E+02
   100    0.46476E+03    0.71703E+00    0.19670E-02   -0.13517E+02
   101    0.46655E+03    0.73047E+00    0.20072E-02   -0.13680E+02
   102    0.46859E+03    0.74370E+00    0.20480E-02   -0.13839E+02
   103    0.47029E+03    0.75677E+00    0.20892E-02   -0.13996E+02
   104    0.47196E+03    0.76970E+00    0.21309E-02   -0.14148E+02
   105    0.47352E+03    0.78241E+00    0.21731E-02   -0.14297E+02
   106    0.47504E+03    0.79498E+00    0.22157E-02   -0.14443E+02
   107    0.47625E+03    0.80726E+00    0.22588E-02   -0.14584E+02
   108    0.47757E+03    0.81932E+00    0.23024E-02   -0.14722E+02
   109    0.47881E+03    0.83108E+00    0.23465E-02   -0.14855E+02
   110    0.47988E+03    0.84257E+00    0.23911E-02   -0.14983E+02
   111    0.48087E+03    0.85383E+00    0.24361E-02   -0.15108E+02
   112    0.48178E+03    0.86481E+00    0.24817E-02   -0.15229E+02
   113    0.48270E+03    0.87551E+00    0.25277E-02   -0.15344E+02
   114    0.48348E+03    0.88585E+00    0.25743E-02   -0.15455E+02
   115    0.48428E+03    0.89597E+00    0.26213E-02   -0.15560E+02
   116    0.48489E+03    0.90566E+00    0.26689E-02   -0.15661E+02
   117    0.48562E+03    0.91500E+00    0.27169E-02   -0.15756E+02
   118    0.48631E+03    0.92413E+00    0.27655E-02   -0.15847E+02
   119    0.48684E+03    0.93290E+00    0.28146E-02   -0.15932E+02
   120    0.48735E+03    0.94117E+00    0.28642E-02   -0.16011E+02
   121    0.48772E+03    0.94924E+00    0.29143E-02   -0.16085E+02
   122    0.48801E+03    0.95680E+00    0.29650E-02   -0.16154E+02
   123    0.48825E+03    0.96394E+00    0.30161E-02   -0.16218E+02
   124    0.48843E+03    0.97073E+00    0.30678E-02   -0.16274E+02
   125    0.48849E+03    0.97709E+00    0.31201E-02   -0.16325E+02
   126    0.48851E+03    0.98310E+00    0.31729E-02   -0.16370E+02
   127    0.48843E+03    0.98861E+00    0.32262E-02   -0.16411E+02
   128    0.48826E+03    0.99378E+00    0.32801E-02   -0.16445E+02
   129    0.48808E+03    0.99845E+00    0.33345E-02   -0.16473E+02
   130    0.48782E+03    0.10026E+01    0.33895E-02   -0.16495E+02
   131    0.48749E+03    0.10065E+01    0.34450E-02   -0.16512E+02
   132    0.48717E+03    0.10098E+01    0.35011E-02   -0.16522E+02
   133    0.48673E+03    0.10127E+01    0.35578E-02   -0.16528E+02
   134    0.48626E+03    0.10152E+01    0.36150E-02   -0.16525E+02
   135    0.48575E+03    0.10172E+01    0.36729E-02   -0.16517E+02
   136    0.48509E+03    0.10188E+01    0.37313E-02   -0.16501E+02
   137    0.48442E+03    0.10199E+01    0.37903E-02   -0.16479E+02
   138    0.48368E+03    0.10205E+01    0.38498E-02   -0.16451E+02
   139    0.48274E+03    0.10208E+01    0.39100E-02   -0.16415E+02
   140    0.48190E+03    0.10205E+01    0.39708E-02   -0.16375E+02
   141    0.48087E+03    0.10197E+01    0.40322E-02   -0.16326E+02
   142    0.47990E+03    0.10186E+01    0.40942E-02   -0.16271E+02
   143    0.47891E+03    0.10170E+01    0.41568E-02   -0.16211E+02
   144    0.47778E+03    0.10149E+01    0.42200E-02   -0.16144E+02
   145    0.47657E+03    0.10125E+01    0.42839E-02   -0.16070E+02
   146    0.47554E+03    0.10096E+01    0.43483E-02   -0.15991E+02
   147    0.47423E+03    0.10063E+01    0.44135E-02   -0.15905E+02
   148    0.47290E+03    0.10025E+01    0.44792E-02   -0.15813E+02
   149    0.47161E+03    0.99837E+00    0.45456E-02   -0.15716E+02
   150    0.47017E+03    0.99389E+00    0.46127E-02   -0.15610E+02
   151    0.46873E+03    0.98900E+00    0.46804E-02   -0.15500E+02
   152    0.46714E+03    0.98363E+00    0.47487E-02   -0.15384E+02
   153    0.46557E+03    0.97794E+00    0.48177E-02   -0.15261E+02
   154    0.46396E+03    0.97192E+00    0.48874E-02   -0.15131E+02
   155    0.46231E+03    0.96558E+00    0.49578E-02   -0.14996E+02
   156    0.46047E+03    0.95891E+00    0.50288E-02   -0.14855E+02
   157    0.45877E+03    0.95192E+00    0.51005E-02   -0.14707E+02
   158    0.45697E+03    0.94467E+00    0.51728E-02   -0.14553E+02
   159    0.45510E+03    0.93703E+00    0.52459E-02   -0.14392E+02
   160    0.45323E+03    0.92913E+00    0.53196E-02   -0.14224E+02
   161    0.45138E+03    0.92106E+00    0.53941E-02   -0.14051E+02
   162    0.44948E+03    0.91266E+00    0.54692E-02   -0.13872E+02
   163    0.44768E+03    0.90402E+00    0.55450E-02   -0.13686E+02
   164    0.44569E+03    0.89520E+00    0.56214E-02   -0.13495E+02
   165    0.44384E+03    0.88613E+00    0.56986E-02   -0.13297E+02
   166    0.44196E+03    0.87696E+00    0.57765E-02   -0.13093E+02
   167    0.44015E+03    0.86747E+00    0.58550E-02   -0.12884E+02
   168    0.43820E+03    0.85802E+00    0.59343E-02   -0.12669E+02
   169    0.43626E+03    0.84833E+00    0.60142E-02   -0.12447E+02
   170    0.43433E+03    0.83861E+00    0.60949E-02   -0.12221E+02
   171    0.43228E+03    0.82886E+00    0.61762E-02   -0.11988E+02
   172    0.43020E+03    0.81902E+00    0.62582E-02   -0.11749E+02
   173    0.42801E+03    0.80908E+00    0.63408E-02   -0.11505E+02
   174    0.42588E+03    0.79933E+00    0.64242E-02   -0.11257E+02
   175    0.42374E+03    0.78949E+00    0.65082E-02   -0.11003E+02
   176    0.42145E+03    0.77977E+00    0.65929E-02   -0.10743E+02
   177    0.41916E+03    0.77010E+00    0.66783E-02   -0.10480E+02
   178    0.41681E+03    0.76070E+00    0.67644E-02   -0.10212E+02
   179    0.41442E+03    0.75128E+00    0.68511E-02   -0.99377E+01
   180    0.41214E+03    0.74205E+00    0.69385E-02   -0.96597E+01
   181    0.40975E+03    0.73302E+00    0.70265E-02   -0.93776E+01
   182    0.40734E+03    0.72426E+00    0.71151E-02   -0.90899E+01
   183    0.40484E+03    0.71570E+00    0.72045E-02   -0.87980E+01
   184    0.40242E+03    0.70740E+00    0.72944E-02   -0.85011E+01
   185    0.40000E+03    0.69952E+00    0.73850E-02   -0.82014E+01
   186    0.39722E+03    0.69192E+00    0.74762E-02   -0.78958E+01
   187    0.39477E+03    0.68474E+00    0.75680E-02   -0.75858E+01
   188    0.39228E+03    0.67796E+00    0.76604E-02   -0.72728E+01
   189    0.38968E+03    0.67162E+00    0.77535E-02   -0.69552E+01
   190    0.38744E+03    0.66576E+00    0.78471E-02   -0.66353E+01
   191    0.38480E+03    0.66042E+00    0.79413E-02   -0.63099E+01
   192    0.38232E+03    0.65561E+00    0.80361E-02   -0.59814E+01
   193    0.37976E+03    0.65138E+00    0.81315E-02   -0.56510E+01
   194    0.37737E+03    0.64776E+00    0.82274E-02   -0.53165E+01
   195    0.37493E+03    0.64478E+00    0.83239E-02   -0.49801E+01
   196    0.37245E+03    0.64248E+00    0.84209E-02   -0.46409E+01
   197    0.37009E+03    0.64091E+00    0.85185E-02   -0.43005E+01
   198    0.36778E+03    0.64008E+00    0.86166E-02   -0.39580E+01
   199    0.36553E+03    0.64003E+00    0.87152E-02   -0.36140E+01
   200    0.36335E+03    0.64080E+00    0.88144E-02   -0.32693E+01
   201    0.36118E+03    0.64244E+00    0.89140E-02   -0.29230E+01
   202    0.35908E+03    0.64495E+00    0.90142E-02   -0.25761E+01
   203    0.35699E+03    0.64840E+00    0.91148E-02   -0.22273E+01
   204    0.35483E+03    0.65281E+00    0.92160E-02   -0.18790E+01
   205    0.35274E+03    0.65821E+00    0.93176E-02   -0.15284E+01
   206    0.35059E+03    0.66465E+00    0.94196E-02   -0.11764E+01
   207    0.34851E+03    0.67215E+00    0.95221E-02   -0.82263E+00
   208    0.34629E+03    0.68076E+00    0.96251E-02   -0.46722E+00
   209    0.34407E+03    0.69049E+00    0.97285E-02   -0.10996E+00
   210    0.34185E+03    0.70140E+00    0.98323E-02    0.24882E+00
   211    0.33963E+03    0.71353E+00    0.99366E-02    0.60960E+00
   212    0.33726E+03    0.72688E+00    0.10041E-01    0.97201E+00
   213    0.33496E+03    0.74152E+00    0.10146E-01    0.13366E+01
   214    0.33259E+03    0.75743E+00    0.10252E-01    0.17028E+01
   215    0.33022E+03    0.77480E+00    0.10358E-01    0.20704E+01
   216    0.32777E+03    0.79344E+00    0.10464E-01    0.24404E+01
   217    0.32540E+03    0.81352E+00    0.10570E-01    0.28114E+01
   218    0.32295E+03    0.83502E+00    0.10677E-01    0.31842E+01
   219    0.32049E+03    0.85795E+00    0.10784E-01    0.35602E+01
   220    0.31803E+03    0.88246E+00    0.10892E-01    0.39356E+01
   221    0.31557E+03    0.90847E+00    0.11000E-01    0.43132E+01
   222    0.31310E+03    0.93612E+00    0.11108E-01    0.46920E+01
   223    0.31048E+03    0.96534E+00    0.11217E-01    0.50733E+01
   224    0.30800E+03    0.99614E+00    0.11325E-01    0.54540E+01
   225    0.30545E+03    0.10286E+01    0.11434E-01    0.58376E+01
   226    0.30288E+03    0.10629E+01    0.11544E-01    0.62208E+01
   227    0.30023E+03    0.10988E+01    0.11653E-01    0.66058E+01
   228    0.29765E+03    0.11365E+01    0.11763E-01    0.69916E+01
   229    0.29507E+03    0.11759E+01    0.11873E-01    0.73773E+01
   230    0.29239E+03    0.12171E+01    0.11984E-01    0.77642E+01
   231    0.28964E+03    0.12602E+01    0.12094E-01    0.81521E+01
   232    0.28695E+03    0.13051E+01    0.12205E-01    0.85400E+01
   233    0.28425E+03    0.13519E+01    0.12316E-01    0.89270E+01
   234    0.28139E+03    0.14006E+01    0.12427E-01    0.93145E+01
   235    0.27860E+03    0.14513E+01    0.12538E-01    0.97014E+01
   236    0.27571E+03    0.15038E+01    0.12649E-01    0.10088E+02
