#    L    TT             EE             BB             TE          
    91    0.23295E+04    0.60661E+00    0.20682E-02   -0.17880E+02
    92    0.23560E+04    0.62127E+00    0.21143E-02   -0.18447E+02
    93    0.23827E+04    0.63590E+00    0.21609E-02   -0.19018E+02
    94    0.24095E+04    0.65047E+00    0.22081E-02   -0.19593E+02
    95    0.24365E+04    0.66498E+00    0.22558E-02   -0.20171E+02
    96    0.24634E+04    0.67940E+00    0.23041E-02   -0.20752E+02
    97    0.24908E+04    0.69374E+00    0.23530E-02   -0.21336E+02
    98    0.25184E+04    0.70798E+00    0.24024E-02   -0.21920E+02
    99    0.25460E+04    0.72208E+00    0.24524E-02   -0.22507E+02
   100    0.25739E+04    0.73605E+00    0.25030E-02   -0.23093E+02
   101    0.26019E+04    0.74995E+00    0.25542E-02   -0.23681E+02
   102    0.26304E+04    0.76362E+00    0.26059E-02   -0.24270E+02
   103    0.26588E+04    0.77715E+00    0.26582E-02   -0.24858E+02
   104    0.26874E+04    0.79053E+00    0.27111E-02   -0.25445E+02
   105    0.27162E+04    0.80369E+00    0.27646E-02   -0.26031E+02
   106    0.27451E+04    0.81671E+00    0.28186E-02   -0.26616E+02
   107    0.27741E+04    0.82944E+00    0.28733E-02   -0.27198E+02
   108    0.28033E+04    0.84194E+00    0.29286E-02   -0.27778E+02
   109    0.28328E+04    0.85416E+00    0.29844E-02   -0.28355E+02
   110    0.28623E+04    0.86609E+00    0.30409E-02   -0.28927E+02
   111    0.28920E+04    0.87780E+00    0.30980E-02   -0.29496E+02
   112    0.29218E+04    0.88922E+00    0.31557E-02   -0.30062E+02
   113    0.29519E+04    0.90036E+00    0.32140E-02   -0.30621E+02
   114    0.29820E+04    0.91113E+00    0.32729E-02   -0.31175E+02
   115    0.30124E+04    0.92169E+00    0.33324E-02   -0.31723E+02
   116    0.30428E+04    0.93182E+00    0.33926E-02   -0.32264E+02
   117    0.30735E+04    0.94158E+00    0.34534E-02   -0.32797E+02
   118    0.31044E+04    0.95113E+00    0.35149E-02   -0.33324E+02
   119    0.31353E+04    0.96032E+00    0.35770E-02   -0.33841E+02
   120    0.31663E+04    0.96900E+00    0.36397E-02   -0.34349E+02
   121    0.31974E+04    0.97747E+00    0.37031E-02   -0.34849E+02
   122    0.32285E+04    0.98544E+00    0.37671E-02   -0.35338E+02
   123    0.32597E+04    0.99297E+00    0.38318E-02   -0.35818E+02
   124    0.32910E+04    0.10001E+01    0.38971E-02   -0.36285E+02
   125    0.33223E+04    0.10069E+01    0.39632E-02   -0.36742E+02
   126    0.33537E+04    0.10133E+01    0.40299E-02   -0.37187E+02
   127    0.33851E+04    0.10191E+01    0.40972E-02   -0.37621E+02
   128    0.34165E+04    0.10247E+01    0.41653E-02   -0.38041E+02
   129    0.34480E+04    0.10297E+01    0.42341E-02   -0.38448E+02
   130    0.34795E+04    0.10342E+01    0.43035E-02   -0.38841E+02
   131    0.35110E+04    0.10384E+01    0.43737E-02   -0.39222E+02
   132    0.35426E+04    0.10420E+01    0.44445E-02   -0.39586E+02
   133    0.35741E+04    0.10452E+01    0.45161E-02   -0.39937E+02
   134    0.36057E+04    0.10480E+01    0.45884E-02   -0.40271E+02
   135    0.36372E+04    0.10503E+01    0.46615E-02   -0.40589E+02
   136    0.36687E+04    0.10521E+01    0.47352E-02   -0.40890E+02
   137    0.37001E+04    0.10535E+01    0.48097E-02   -0.41174E+02
   138    0.37315E+04    0.10544E+01    0.48850E-02   -0.41440E+02
   139    0.37627E+04    0.10549E+01    0.49610E-02   -0.41688E+02
   140    0.37940E+04    0.10548E+01    0.50378E-02   -0.41919E+02
   141    0.38252E+04    0.10543E+01    0.51153E-02   -0.42130E+02
   142    0.38563E+04    0.10533E+01    0.51937E-02   -0.42322E+02
   143    0.38874E+04    0.10519E+01    0.52728E-02   -0.42495E+02
   144    0.39184E+04    0.10500E+01    0.53526E-02   -0.42648E+02
