#    L    TT             EE             TE             PP             TP          
     2    0.41166E+04    0.54881E-01    0.83100E+01    0.10135E+07   -0.11030E+06
     3    0.29783E+04    0.88313E-01    0.76518E+01    0.15599E+07   -0.12057E+06
     4    0.23673E+04    0.97755E-01    0.64511E+01    0.20437E+07   -0.12303E+06
     5    0.19908E+04    0.85339E-01    0.52039E+01    0.24701E+07   -0.12203E+06
     6    0.17371E+04    0.62030E-01    0.40659E+01    0.28458E+07   -0.11934E+06
     7    0.15571E+04    0.38882E-01    0.30958E+01    0.31784E+07   -0.11582E+06
     8    0.14253E+04    0.22214E-01    0.23199E+01    0.34739E+07   -0.11194E+06
     9    0.13267E+04    0.13102E-01    0.17394E+01    0.37377E+07   -0.10799E+06
    10    0.12516E+04    0.94193E-02    0.13375E+01    0.39734E+07   -0.10405E+06
    11    0.11935E+04    0.82926E-02    0.10857E+01    0.41855E+07   -0.10017E+06
    12    0.11489E+04    0.77399E-02    0.96097E+00    0.43757E+07   -0.96315E+05
    13    0.11139E+04    0.69109E-02    0.93499E+00    0.45464E+07   -0.92528E+05
    14    0.10859E+04    0.60053E-02    0.97584E+00    0.47003E+07   -0.88865E+05
    15    0.10643E+04    0.53140E-02    0.10515E+01    0.48390E+07   -0.85364E+05
    16    0.10485E+04    0.50432E-02    0.11342E+01    0.49639E+07   -0.82050E+05
    17    0.10377E+04    0.51886E-02    0.12113E+01    0.50765E+07   -0.78899E+05
    18    0.10304E+04    0.55084E-02    0.12771E+01    0.51781E+07   -0.75882E+05
    19    0.10268E+04    0.58697E-02    0.13329E+01    0.52694E+07   -0.72994E+05
    20    0.10249E+04    0.62505E-02    0.13787E+01    0.53511E+07   -0.70237E+05
    21    0.10250E+04    0.66954E-02    0.14156E+01    0.54242E+07   -0.67616E+05
    22    0.10271E+04    0.73363E-02    0.14450E+01    0.54897E+07   -0.65130E+05
    23    0.10308E+04    0.82280E-02    0.14723E+01    0.55482E+07   -0.62763E+05
    24    0.10359E+04    0.93665E-02    0.15033E+01    0.56000E+07   -0.60495E+05
    25    0.10421E+04    0.10761E-01    0.15418E+01    0.56458E+07   -0.58322E+05
    26    0.10494E+04    0.12379E-01    0.15906E+01    0.56860E+07   -0.56242E+05
    27    0.10577E+04    0.14178E-01    0.16425E+01    0.57213E+07   -0.54254E+05
    28    0.10669E+04    0.16144E-01    0.16909E+01    0.57519E+07   -0.52356E+05
    29    0.10770E+04    0.18288E-01    0.17346E+01    0.57779E+07   -0.50536E+05
    30    0.10878E+04    0.20624E-01    0.17726E+01    0.57994E+07   -0.48780E+05
    31    0.10991E+04    0.23139E-01    0.18038E+01    0.58170E+07   -0.47093E+05
    32    0.11112E+04    0.25807E-01    0.18266E+01    0.58313E+07   -0.45481E+05
    33    0.11240E+04    0.28638E-01    0.18369E+01    0.58423E+07   -0.43943E+05
    34    0.11373E+04    0.31662E-01    0.18320E+01    0.58504E+07   -0.42477E+05
    35    0.11510E+04    0.34901E-01    0.18158E+01    0.58556E+07   -0.41079E+05
    36    0.11650E+04    0.38375E-01    0.17915E+01    0.58582E+07   -0.39741E+05
    37    0.11794E+04    0.42077E-01    0.17569E+01    0.58584E+07   -0.38451E+05
    38    0.11944E+04    0.46003E-01    0.17111E+01    0.58563E+07   -0.37200E+05
    39    0.12099E+04    0.50166E-01    0.16560E+01    0.58521E+07   -0.35990E+05
    40    0.12258E+04    0.54586E-01    0.15937E+01    0.58459E+07   -0.34825E+05
    41    0.12420E+04    0.59283E-01    0.15253E+01    0.58379E+07   -0.33710E+05
    42    0.12583E+04    0.64259E-01    0.14488E+01    0.58280E+07   -0.32642E+05
    43    0.12750E+04    0.69509E-01    0.13618E+01    0.58164E+07   -0.31619E+05
    44    0.12917E+04    0.75016E-01    0.12625E+01    0.58034E+07   -0.30634E+05
    45    0.13089E+04    0.80771E-01    0.11492E+01    0.57889E+07   -0.29686E+05
    46    0.13265E+04    0.86770E-01    0.10190E+01    0.57731E+07   -0.28771E+05
    47    0.13444E+04    0.93016E-01    0.87353E+00    0.57562E+07   -0.27888E+05
    48    0.13624E+04    0.99521E-01    0.71842E+00    0.57381E+07   -0.27039E+05
    49    0.13806E+04    0.10627E+00    0.55861E+00    0.57189E+07   -0.26223E+05
    50    0.13993E+04    0.11325E+00    0.39226E+00    0.56989E+07   -0.25441E+05
    51    0.14183E+04    0.12044E+00    0.21574E+00    0.56779E+07   -0.24693E+05
    52    0.14377E+04    0.12791E+00    0.23783E-01    0.56561E+07   -0.23976E+05
    53    0.14572E+04    0.13581E+00   -0.18742E+00    0.56335E+07   -0.23285E+05
    54    0.14766E+04    0.14413E+00   -0.41373E+00    0.56103E+07   -0.22616E+05
    55    0.14963E+04    0.15283E+00   -0.65087E+00    0.55863E+07   -0.21966E+05
    56    0.15163E+04    0.16179E+00   -0.90064E+00    0.55618E+07   -0.21330E+05
    57    0.15367E+04    0.17088E+00   -0.11628E+01    0.55366E+07   -0.20709E+05
    58    0.15574E+04    0.18012E+00   -0.14380E+01    0.55110E+07   -0.20106E+05
    59    0.15782E+04    0.18955E+00   -0.17266E+01    0.54848E+07   -0.19521E+05
    60    0.15993E+04    0.19922E+00   -0.20278E+01    0.54581E+07   -0.18955E+05
    61    0.16209E+04    0.20924E+00   -0.23405E+01    0.54309E+07   -0.18411E+05
    62    0.16424E+04    0.21959E+00   -0.26658E+01    0.54034E+07   -0.17888E+05
    63    0.16640E+04    0.23023E+00   -0.30047E+01    0.53755E+07   -0.17386E+05
    64    0.16861E+04    0.24116E+00   -0.33585E+01    0.53473E+07   -0.16903E+05
    65    0.17082E+04    0.25235E+00   -0.37279E+01    0.53188E+07   -0.16441E+05
    66    0.17307E+04    0.26375E+00   -0.41111E+01    0.52901E+07   -0.15997E+05
    67    0.17534E+04    0.27535E+00   -0.45053E+01    0.52612E+07   -0.15570E+05
    68    0.17765E+04    0.28718E+00   -0.49087E+01    0.52322E+07   -0.15158E+05
    69    0.17998E+04    0.29922E+00   -0.53195E+01    0.52030E+07   -0.14758E+05
    70    0.18234E+04    0.31151E+00   -0.57392E+01    0.51736E+07   -0.14368E+05
    71    0.18472E+04    0.32402E+00   -0.61702E+01    0.51442E+07   -0.13985E+05
    72    0.18712E+04    0.33675E+00   -0.66139E+01    0.51147E+07   -0.13610E+05
    73    0.18954E+04    0.34964E+00   -0.70709E+01    0.50851E+07   -0.13244E+05
    74    0.19197E+04    0.36270E+00   -0.75407E+01    0.50554E+07   -0.12887E+05
    75    0.19444E+04    0.37592E+00   -0.80217E+01    0.50256E+07   -0.12540E+05
    76    0.19694E+04    0.38932E+00   -0.85134E+01    0.49957E+07   -0.12204E+05
    77    0.19947E+04    0.40289E+00   -0.90157E+01    0.49658E+07   -0.11878E+05
    78    0.20203E+04    0.41664E+00   -0.95298E+01    0.49359E+07   -0.11564E+05
    79    0.20462E+04    0.43053E+00   -0.10052E+02    0.49059E+07   -0.11261E+05
    80    0.20724E+04    0.44455E+00   -0.10583E+02    0.48759E+07   -0.10969E+05
    81    0.20987E+04    0.45866E+00   -0.11125E+02    0.48459E+07   -0.10688E+05
    82    0.21253E+04    0.47289E+00   -0.11675E+02    0.48160E+07   -0.10418E+05
    83    0.21521E+04    0.48719E+00   -0.12233E+02    0.47861E+07   -0.10157E+05
    84    0.21792E+04    0.50158E+00   -0.12798E+02    0.47563E+07   -0.99039E+04
    85    0.22064E+04    0.51603E+00   -0.13371E+02    0.47265E+07   -0.96583E+04
    86    0.22338E+04    0.53054E+00   -0.13949E+02    0.46969E+07   -0.94191E+04
    87    0.22616E+04    0.54509E+00   -0.14534E+02    0.46673E+07   -0.91859E+04
    88    0.22894E+04    0.55970E+00   -0.15124E+02    0.46378E+07   -0.89586E+04
    89    0.23176E+04    0.57435E+00   -0.15722E+02    0.46084E+07   -0.87371E+04
    90    0.23460E+04    0.58899E+00   -0.16324E+02    0.45792E+07   -0.85213E+04
    91    0.23745E+04    0.60364E+00   -0.16932E+02    0.45500E+07   -0.83112E+04
    92    0.24033E+04    0.61826E+00   -0.17544E+02    0.45210E+07   -0.81066E+04
    93    0.24324E+04    0.63285E+00   -0.18161E+02    0.44921E+07   -0.79073E+04
    94    0.24616E+04    0.64739E+00   -0.18781E+02    0.44634E+07   -0.77134E+04
    95    0.24910E+04    0.66186E+00   -0.19406E+02    0.44347E+07   -0.75246E+04
    96    0.25205E+04    0.67625E+00   -0.20033E+02    0.44062E+07   -0.73409E+04
    97    0.25504E+04    0.69056E+00   -0.20664E+02    0.43779E+07   -0.71622E+04
    98    0.25805E+04    0.70476E+00   -0.21294E+02    0.43497E+07   -0.69883E+04
    99    0.26107E+04    0.71884E+00   -0.21928E+02    0.43216E+07   -0.68191E+04
