#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   320    0.99581E+02    0.29889E+02    0.19702E-06    0.29889E+02    0.12835E+02    0.32621E-08    0.19702E-06    0.32621E-08    0.22162E-12
   321    0.98178E+02    0.29933E+02    0.19504E-06    0.29933E+02    0.13022E+02    0.32742E-08    0.19504E-06    0.32742E-08    0.21937E-12
   322    0.96816E+02    0.29969E+02    0.19309E-06    0.29969E+02    0.13208E+02    0.32859E-08    0.19309E-06    0.32859E-08    0.21714E-12
   323    0.95483E+02    0.29999E+02    0.19117E-06    0.29999E+02    0.13393E+02    0.32972E-08    0.19117E-06    0.32972E-08    0.21495E-12
   324    0.94172E+02    0.30015E+02    0.18927E-06    0.30015E+02    0.13580E+02    0.33079E-08    0.18927E-06    0.33079E-08    0.21278E-12
   325    0.92947E+02    0.30039E+02    0.18739E-06    0.30039E+02    0.13763E+02    0.33183E-08    0.18739E-06    0.33183E-08    0.21065E-12
   326    0.91650E+02    0.30041E+02    0.18554E-06    0.30041E+02    0.13948E+02    0.33281E-08    0.18554E-06    0.33281E-08    0.20854E-12
   327    0.90421E+02    0.30044E+02    0.18372E-06    0.30044E+02    0.14133E+02    0.33374E-08    0.18372E-06    0.33374E-08    0.20646E-12
   328    0.89250E+02    0.30046E+02    0.18191E-06    0.30046E+02    0.14315E+02    0.33463E-08    0.18191E-06    0.33463E-08    0.20440E-12
   329    0.88054E+02    0.30033E+02    0.18013E-06    0.30033E+02    0.14498E+02    0.33547E-08    0.18013E-06    0.33547E-08    0.20238E-12
   330    0.86897E+02    0.30013E+02    0.17837E-06    0.30013E+02    0.14679E+02    0.33625E-08    0.17837E-06    0.33625E-08    0.20038E-12
   331    0.85846E+02    0.29992E+02    0.17664E-06    0.29992E+02    0.14860E+02    0.33698E-08    0.17664E-06    0.33698E-08    0.19840E-12
   332    0.84741E+02    0.29971E+02    0.17493E-06    0.29971E+02    0.15040E+02    0.33766E-08    0.17493E-06    0.33766E-08    0.19645E-12
   333    0.83648E+02    0.29941E+02    0.17323E-06    0.29941E+02    0.15219E+02    0.33829E-08    0.17323E-06    0.33829E-08    0.19453E-12
   334    0.82632E+02    0.29903E+02    0.17156E-06    0.29903E+02    0.15397E+02    0.33886E-08    0.17156E-06    0.33886E-08    0.19263E-12
   335    0.81535E+02    0.29856E+02    0.16991E-06    0.29856E+02    0.15573E+02    0.33938E-08    0.16991E-06    0.33938E-08    0.19075E-12
   336    0.80496E+02    0.29808E+02    0.16828E-06    0.29808E+02    0.15748E+02    0.33984E-08    0.16828E-06    0.33984E-08    0.18890E-12
   337    0.79507E+02    0.29743E+02    0.16667E-06    0.29743E+02    0.15923E+02    0.34024E-08    0.16667E-06    0.34024E-08    0.18707E-12
   338    0.78483E+02    0.29684E+02    0.16509E-06    0.29684E+02    0.16095E+02    0.34058E-08    0.16509E-06    0.34058E-08    0.18526E-12
   339    0.77563E+02    0.29616E+02    0.16352E-06    0.29616E+02    0.16267E+02    0.34087E-08    0.16352E-06    0.34087E-08    0.18348E-12
   340    0.76591E+02    0.29553E+02    0.16196E-06    0.29553E+02    0.16437E+02    0.34109E-08    0.16196E-06    0.34109E-08    0.18171E-12
   341    0.75556E+02    0.29474E+02    0.16043E-06    0.29474E+02    0.16605E+02    0.34125E-08    0.16043E-06    0.34125E-08    0.17997E-12
   342    0.74598E+02    0.29391E+02    0.15892E-06    0.29391E+02    0.16772E+02    0.34136E-08    0.15892E-06    0.34136E-08    0.17825E-12
   343    0.73634E+02    0.29307E+02    0.15742E-06    0.29307E+02    0.16937E+02    0.34139E-08    0.15742E-06    0.34139E-08    0.17656E-12
   344    0.72728E+02    0.29219E+02    0.15595E-06    0.29219E+02    0.17100E+02    0.34137E-08    0.15595E-06    0.34137E-08    0.17488E-12
   345    0.71722E+02    0.29129E+02    0.15448E-06    0.29129E+02    0.17261E+02    0.34128E-08    0.15448E-06    0.34128E-08    0.17322E-12
   346    0.70756E+02    0.29043E+02    0.15304E-06    0.29043E+02    0.17421E+02    0.34112E-08    0.15304E-06    0.34112E-08    0.17158E-12
   347    0.69747E+02    0.28946E+02    0.15161E-06    0.28946E+02    0.17579E+02    0.34090E-08    0.15161E-06    0.34090E-08    0.16996E-12
   348    0.68758E+02    0.28846E+02    0.15020E-06    0.28846E+02    0.17734E+02    0.34061E-08    0.15020E-06    0.34061E-08    0.16836E-12
   349    0.67708E+02    0.28742E+02    0.14881E-06    0.28742E+02    0.17887E+02    0.34026E-08    0.14881E-06    0.34026E-08    0.16677E-12
   350    0.66659E+02    0.28642E+02    0.14743E-06    0.28642E+02    0.18038E+02    0.33983E-08    0.14743E-06    0.33983E-08    0.16521E-12
   351    0.65755E+02    0.28538E+02    0.14606E-06    0.28538E+02    0.18187E+02    0.33934E-08    0.14606E-06    0.33934E-08    0.16366E-12
   352    0.64619E+02    0.28429E+02    0.14471E-06    0.28429E+02    0.18334E+02    0.33877E-08    0.14471E-06    0.33877E-08    0.16212E-12
   353    0.63550E+02    0.28330E+02    0.14337E-06    0.28330E+02    0.18478E+02    0.33815E-08    0.14337E-06    0.33815E-08    0.16061E-12
   354    0.62396E+02    0.28217E+02    0.14205E-06    0.28217E+02    0.18619E+02    0.33746E-08    0.14205E-06    0.33746E-08    0.15911E-12
   355    0.61306E+02    0.28104E+02    0.14075E-06    0.28104E+02    0.18759E+02    0.33673E-08    0.14075E-06    0.33673E-08    0.15763E-12
   356    0.60203E+02    0.27999E+02    0.13946E-06    0.27999E+02    0.18896E+02    0.33593E-08    0.13946E-06    0.33593E-08    0.15616E-12
   357    0.59088E+02    0.27885E+02    0.13818E-06    0.27885E+02    0.19030E+02    0.33509E-08    0.13818E-06    0.33509E-08    0.15471E-12
   358    0.58033E+02    0.27777E+02    0.13692E-06    0.27777E+02    0.19161E+02    0.33421E-08    0.13692E-06    0.33421E-08    0.15328E-12
   359    0.56888E+02    0.27659E+02    0.13567E-06    0.27659E+02    0.19289E+02    0.33328E-08    0.13567E-06    0.33328E-08    0.15186E-12
   360    0.55802E+02    0.27542E+02    0.13443E-06    0.27542E+02    0.19415E+02    0.33231E-08    0.13443E-06    0.33231E-08    0.15046E-12
   361    0.54698E+02    0.27420E+02    0.13321E-06    0.27420E+02    0.19538E+02    0.33131E-08    0.13321E-06    0.33131E-08    0.14908E-12
   362    0.53651E+02    0.27295E+02    0.13200E-06    0.27295E+02    0.19658E+02    0.33028E-08    0.13200E-06    0.33028E-08    0.14771E-12
   363    0.52584E+02    0.27169E+02    0.13081E-06    0.27169E+02    0.19776E+02    0.32922E-08    0.13081E-06    0.32922E-08    0.14635E-12
   364    0.51571E+02    0.27038E+02    0.12963E-06    0.27038E+02    0.19890E+02    0.32814E-08    0.12963E-06    0.32814E-08    0.14501E-12
   365    0.50536E+02    0.26907E+02    0.12846E-06    0.26907E+02    0.20001E+02    0.32703E-08    0.12846E-06    0.32703E-08    0.14369E-12
   366    0.49554E+02    0.26772E+02    0.12731E-06    0.26772E+02    0.20109E+02    0.32591E-08    0.12731E-06    0.32591E-08    0.14238E-12
   367    0.48621E+02    0.26634E+02    0.12617E-06    0.26634E+02    0.20213E+02    0.32478E-08    0.12617E-06    0.32478E-08    0.14108E-12
   368    0.47590E+02    0.26495E+02    0.12504E-06    0.26495E+02    0.20314E+02    0.32364E-08    0.12504E-06    0.32364E-08    0.13980E-12
   369    0.46757E+02    0.26351E+02    0.12393E-06    0.26351E+02    0.20413E+02    0.32249E-08    0.12393E-06    0.32249E-08    0.13853E-12
   370    0.45896E+02    0.26207E+02    0.12283E-06    0.26207E+02    0.20508E+02    0.32133E-08    0.12283E-06    0.32133E-08    0.13728E-12
   371    0.45007E+02    0.26058E+02    0.12174E-06    0.26058E+02    0.20599E+02    0.32018E-08    0.12174E-06    0.32018E-08    0.13604E-12
   372    0.44164E+02    0.25908E+02    0.12066E-06    0.25908E+02    0.20687E+02    0.31904E-08    0.12066E-06    0.31904E-08    0.13482E-12
   373    0.43365E+02    0.25753E+02    0.11960E-06    0.25753E+02    0.20772E+02    0.31790E-08    0.11960E-06    0.31790E-08    0.13360E-12
   374    0.42610E+02    0.25596E+02    0.11855E-06    0.25596E+02    0.20853E+02    0.31677E-08    0.11855E-06    0.31677E-08    0.13241E-12
   375    0.41822E+02    0.25437E+02    0.11751E-06    0.25437E+02    0.20931E+02    0.31566E-08    0.11751E-06    0.31566E-08    0.13122E-12
   376    0.41150E+02    0.25275E+02    0.11648E-06    0.25275E+02    0.21006E+02    0.31456E-08    0.11648E-06    0.31456E-08    0.13005E-12
   377    0.40518E+02    0.25112E+02    0.11547E-06    0.25112E+02    0.21076E+02    0.31349E-08    0.11547E-06    0.31349E-08    0.12889E-12
   378    0.39850E+02    0.24944E+02    0.11446E-06    0.24944E+02    0.21143E+02    0.31244E-08    0.11446E-06    0.31244E-08    0.12775E-12
   379    0.39221E+02    0.24776E+02    0.11347E-06    0.24776E+02    0.21207E+02    0.31143E-08    0.11347E-06    0.31143E-08    0.12661E-12
   380    0.38702E+02    0.24603E+02    0.11249E-06    0.24603E+02    0.21268E+02    0.31044E-08    0.11249E-06    0.31044E-08    0.12549E-12
   381    0.38146E+02    0.24428E+02    0.11153E-06    0.24428E+02    0.21322E+02    0.30949E-08    0.11153E-06    0.30949E-08    0.12439E-12
   382    0.37549E+02    0.24252E+02    0.11057E-06    0.24252E+02    0.21374E+02    0.30858E-08    0.11057E-06    0.30858E-08    0.12329E-12
   383    0.37061E+02    0.24072E+02    0.10962E-06    0.24072E+02    0.21422E+02    0.30772E-08    0.10962E-06    0.30772E-08    0.12221E-12
   384    0.36680E+02    0.23891E+02    0.10869E-06    0.23891E+02    0.21466E+02    0.30690E-08    0.10869E-06    0.30690E-08    0.12113E-12
   385    0.36181E+02    0.23706E+02    0.10777E-06    0.23706E+02    0.21508E+02    0.30613E-08    0.10777E-06    0.30613E-08    0.12007E-12
   386    0.35788E+02    0.23520E+02    0.10685E-06    0.23520E+02    0.21545E+02    0.30542E-08    0.10685E-06    0.30542E-08    0.11903E-12
   387    0.35349E+02    0.23332E+02    0.10595E-06    0.23332E+02    0.21577E+02    0.30476E-08    0.10595E-06    0.30476E-08    0.11799E-12
   388    0.34939E+02    0.23141E+02    0.10506E-06    0.23141E+02    0.21606E+02    0.30417E-08    0.10506E-06    0.30417E-08    0.11696E-12
   389    0.34557E+02    0.22948E+02    0.10418E-06    0.22948E+02    0.21629E+02    0.30363E-08    0.10418E-06    0.30363E-08    0.11595E-12
   390    0.34200E+02    0.22755E+02    0.10331E-06    0.22755E+02    0.21651E+02    0.30317E-08    0.10331E-06    0.30317E-08    0.11494E-12
   391    0.33869E+02    0.22557E+02    0.10245E-06    0.22557E+02    0.21668E+02    0.30278E-08    0.10245E-06    0.30278E-08    0.11395E-12
   392    0.33488E+02    0.22359E+02    0.10160E-06    0.22359E+02    0.21683E+02    0.30246E-08    0.10160E-06    0.30246E-08    0.11297E-12
   393    0.33204E+02    0.22159E+02    0.10076E-06    0.22159E+02    0.21693E+02    0.30223E-08    0.10076E-06    0.30223E-08    0.11200E-12
   394    0.32868E+02    0.21957E+02    0.99934E-07    0.21957E+02    0.21699E+02    0.30207E-08    0.99934E-07    0.30207E-08    0.11103E-12
   395    0.32478E+02    0.21753E+02    0.99115E-07    0.21753E+02    0.21700E+02    0.30200E-08    0.99115E-07    0.30200E-08    0.11008E-12
   396    0.32183E+02    0.21547E+02    0.98306E-07    0.21547E+02    0.21698E+02    0.30202E-08    0.98306E-07    0.30202E-08    0.10914E-12
   397    0.31758E+02    0.21340E+02    0.97506E-07    0.21340E+02    0.21692E+02    0.30213E-08    0.97506E-07    0.30213E-08    0.10821E-12
   398    0.31425E+02    0.21130E+02    0.96715E-07    0.21130E+02    0.21682E+02    0.30234E-08    0.96715E-07    0.30234E-08    0.10728E-12
   399    0.31035E+02    0.20919E+02    0.95934E-07    0.20919E+02    0.21668E+02    0.30265E-08    0.95934E-07    0.30265E-08    0.10637E-12
   400    0.30586E+02    0.20706E+02    0.95162E-07    0.20706E+02    0.21650E+02    0.30307E-08    0.95162E-07    0.30307E-08    0.10547E-12
   401    0.30153E+02    0.20491E+02    0.94400E-07    0.20491E+02    0.21628E+02    0.30359E-08    0.94400E-07    0.30359E-08    0.10457E-12
   402    0.29740E+02    0.20275E+02    0.93646E-07    0.20275E+02    0.21601E+02    0.30420E-08    0.93646E-07    0.30420E-08    0.10369E-12
   403    0.29281E+02    0.20058E+02    0.92902E-07    0.20058E+02    0.21571E+02    0.30492E-08    0.92902E-07    0.30492E-08    0.10281E-12
   404    0.28780E+02    0.19841E+02    0.92166E-07    0.19841E+02    0.21537E+02    0.30573E-08    0.92166E-07    0.30573E-08    0.10194E-12
   405    0.28320E+02    0.19622E+02    0.91439E-07    0.19622E+02    0.21499E+02    0.30662E-08    0.91439E-07    0.30662E-08    0.10108E-12
   406    0.27756E+02    0.19403E+02    0.90720E-07    0.19403E+02    0.21457E+02    0.30759E-08    0.90720E-07    0.30759E-08    0.10023E-12
   407    0.27246E+02    0.19182E+02    0.90010E-07    0.19182E+02    0.21411E+02    0.30863E-08    0.90010E-07    0.30863E-08    0.99391E-13
   408    0.26719E+02    0.18963E+02    0.89308E-07    0.18963E+02    0.21362E+02    0.30974E-08    0.89308E-07    0.30974E-08    0.98557E-13
   409    0.26257E+02    0.18744E+02    0.88614E-07    0.18744E+02    0.21309E+02    0.31092E-08    0.88614E-07    0.31092E-08    0.97733E-13
   410    0.25718E+02    0.18524E+02    0.87928E-07    0.18524E+02    0.21251E+02    0.31215E-08    0.87928E-07    0.31215E-08    0.96916E-13
   411    0.25256E+02    0.18306E+02    0.87250E-07    0.18306E+02    0.21190E+02    0.31343E-08    0.87250E-07    0.31343E-08    0.96108E-13
   412    0.24729E+02    0.18088E+02    0.86580E-07    0.18088E+02    0.21126E+02    0.31475E-08    0.86580E-07    0.31475E-08    0.95308E-13
   413    0.24217E+02    0.17871E+02    0.85917E-07    0.17871E+02    0.21058E+02    0.31612E-08    0.85917E-07    0.31612E-08    0.94516E-13
   414    0.23654E+02    0.17654E+02    0.85262E-07    0.17654E+02    0.20986E+02    0.31752E-08    0.85262E-07    0.31752E-08    0.93733E-13
   415    0.23193E+02    0.17440E+02    0.84615E-07    0.17440E+02    0.20911E+02    0.31895E-08    0.84615E-07    0.31895E-08    0.92957E-13
   416    0.22692E+02    0.17226E+02    0.83975E-07    0.17226E+02    0.20831E+02    0.32041E-08    0.83975E-07    0.32041E-08    0.92189E-13
   417    0.22157E+02    0.17012E+02    0.83341E-07    0.17012E+02    0.20749E+02    0.32188E-08    0.83341E-07    0.32188E-08    0.91429E-13
   418    0.21670E+02    0.16802E+02    0.82715E-07    0.16802E+02    0.20661E+02    0.32336E-08    0.82715E-07    0.32336E-08    0.90677E-13
   419    0.21236E+02    0.16593E+02    0.82096E-07    0.16593E+02    0.20571E+02    0.32485E-08    0.82096E-07    0.32485E-08    0.89932E-13
   420    0.20787E+02    0.16385E+02    0.81483E-07    0.16385E+02    0.20478E+02    0.32634E-08    0.81483E-07    0.32634E-08    0.89195E-13
   421    0.20404E+02    0.16180E+02    0.80878E-07    0.16180E+02    0.20382E+02    0.32783E-08    0.80878E-07    0.32783E-08    0.88465E-13
   422    0.20019E+02    0.15975E+02    0.80278E-07    0.15975E+02    0.20281E+02    0.32930E-08    0.80278E-07    0.32930E-08    0.87743E-13
   423    0.19563E+02    0.15773E+02    0.79685E-07    0.15773E+02    0.20177E+02    0.33076E-08    0.79685E-07    0.33076E-08    0.87028E-13
   424    0.19118E+02    0.15573E+02    0.79099E-07    0.15573E+02    0.20070E+02    0.33220E-08    0.79099E-07    0.33220E-08    0.86320E-13
   425    0.18764E+02    0.15375E+02    0.78518E-07    0.15375E+02    0.19959E+02    0.33361E-08    0.78518E-07    0.33361E-08    0.85620E-13
   426    0.18433E+02    0.15180E+02    0.77944E-07    0.15180E+02    0.19846E+02    0.33499E-08    0.77944E-07    0.33499E-08    0.84926E-13
   427    0.18057E+02    0.14985E+02    0.77375E-07    0.14985E+02    0.19729E+02    0.33632E-08    0.77375E-07    0.33632E-08    0.84240E-13
   428    0.17717E+02    0.14793E+02    0.76812E-07    0.14793E+02    0.19609E+02    0.33762E-08    0.76812E-07    0.33762E-08    0.83560E-13
   429    0.17344E+02    0.14604E+02    0.76255E-07    0.14604E+02    0.19486E+02    0.33887E-08    0.76255E-07    0.33887E-08    0.82888E-13
   430    0.17093E+02    0.14416E+02    0.75703E-07    0.14416E+02    0.19361E+02    0.34006E-08    0.75703E-07    0.34006E-08    0.82222E-13
   431    0.16822E+02    0.14230E+02    0.75157E-07    0.14230E+02    0.19232E+02    0.34119E-08    0.75157E-07    0.34119E-08    0.81562E-13
   432    0.16464E+02    0.14046E+02    0.74616E-07    0.14046E+02    0.19100E+02    0.34225E-08    0.74616E-07    0.34225E-08    0.80910E-13
   433    0.16246E+02    0.13864E+02    0.74080E-07    0.13864E+02    0.18967E+02    0.34324E-08    0.74080E-07    0.34324E-08    0.80263E-13
   434    0.15953E+02    0.13683E+02    0.73549E-07    0.13683E+02    0.18829E+02    0.34416E-08    0.73549E-07    0.34416E-08    0.79624E-13
   435    0.15666E+02    0.13504E+02    0.73023E-07    0.13504E+02    0.18691E+02    0.34499E-08    0.73023E-07    0.34499E-08    0.78990E-13
   436    0.15464E+02    0.13325E+02    0.72501E-07    0.13325E+02    0.18549E+02    0.34573E-08    0.72501E-07    0.34573E-08    0.78363E-13
   437    0.15280E+02    0.13149E+02    0.71985E-07    0.13149E+02    0.18404E+02    0.34638E-08    0.71985E-07    0.34638E-08    0.77742E-13
   438    0.15045E+02    0.12975E+02    0.71472E-07    0.12975E+02    0.18257E+02    0.34693E-08    0.71472E-07    0.34693E-08    0.77127E-13
   439    0.14915E+02    0.12800E+02    0.70965E-07    0.12800E+02    0.18108E+02    0.34737E-08    0.70965E-07    0.34737E-08    0.76518E-13
   440    0.14747E+02    0.12627E+02    0.70461E-07    0.12627E+02    0.17956E+02    0.34770E-08    0.70461E-07    0.34770E-08    0.75915E-13
   441    0.14623E+02    0.12454E+02    0.69962E-07    0.12454E+02    0.17802E+02    0.34792E-08    0.69962E-07    0.34792E-08    0.75318E-13
   442    0.14398E+02    0.12282E+02    0.69466E-07    0.12282E+02    0.17646E+02    0.34801E-08    0.69466E-07    0.34801E-08    0.74726E-13
   443    0.14303E+02    0.12110E+02    0.68975E-07    0.12110E+02    0.17488E+02    0.34798E-08    0.68975E-07    0.34798E-08    0.74141E-13
   444    0.14196E+02    0.11939E+02    0.68487E-07    0.11939E+02    0.17329E+02    0.34781E-08    0.68487E-07    0.34781E-08    0.73561E-13
   445    0.14082E+02    0.11767E+02    0.68003E-07    0.11767E+02    0.17166E+02    0.34750E-08    0.68003E-07    0.34750E-08    0.72986E-13
   446    0.13894E+02    0.11596E+02    0.67522E-07    0.11596E+02    0.17002E+02    0.34705E-08    0.67522E-07    0.34705E-08    0.72417E-13
   447    0.13787E+02    0.11423E+02    0.67045E-07    0.11423E+02    0.16838E+02    0.34645E-08    0.67045E-07    0.34645E-08    0.71853E-13
   448    0.13617E+02    0.11248E+02    0.66571E-07    0.11248E+02    0.16670E+02    0.34569E-08    0.66571E-07    0.34569E-08    0.71295E-13
   449    0.13541E+02    0.11074E+02    0.66100E-07    0.11074E+02    0.16501E+02    0.34477E-08    0.66100E-07    0.34477E-08    0.70741E-13
   450    0.13490E+02    0.10896E+02    0.65632E-07    0.10896E+02    0.16331E+02    0.34369E-08    0.65632E-07    0.34369E-08    0.70193E-13
   451    0.13395E+02    0.10717E+02    0.65167E-07    0.10717E+02    0.16160E+02    0.34243E-08    0.65167E-07    0.34243E-08    0.69650E-13
   452    0.13265E+02    0.10536E+02    0.64704E-07    0.10536E+02    0.15987E+02    0.34101E-08    0.64704E-07    0.34101E-08    0.69112E-13
   453    0.13252E+02    0.10353E+02    0.64245E-07    0.10353E+02    0.15813E+02    0.33942E-08    0.64245E-07    0.33942E-08    0.68578E-13
   454    0.13141E+02    0.10169E+02    0.63789E-07    0.10169E+02    0.15638E+02    0.33767E-08    0.63789E-07    0.33767E-08    0.68050E-13
   455    0.13013E+02    0.99827E+01    0.63335E-07    0.99827E+01    0.15462E+02    0.33577E-08    0.63335E-07    0.33577E-08    0.67527E-13
   456    0.13023E+02    0.98021E+01    0.62885E-07    0.98021E+01    0.15285E+02    0.33372E-08    0.62885E-07    0.33372E-08    0.67008E-13
   457    0.12879E+02    0.96132E+01    0.62437E-07    0.96132E+01    0.15107E+02    0.33152E-08    0.62437E-07    0.33152E-08    0.66494E-13
   458    0.12811E+02    0.94347E+01    0.61992E-07    0.94347E+01    0.14929E+02    0.32919E-08    0.61992E-07    0.32919E-08    0.65985E-13
   459    0.12751E+02    0.92513E+01    0.61550E-07    0.92513E+01    0.14750E+02    0.32671E-08    0.61550E-07    0.32671E-08    0.65480E-13
   460    0.12706E+02    0.90693E+01    0.61111E-07    0.90693E+01    0.14570E+02    0.32411E-08    0.61111E-07    0.32411E-08    0.64981E-13
   461    0.12607E+02    0.88881E+01    0.60675E-07    0.88881E+01    0.14390E+02    0.32138E-08    0.60675E-07    0.32138E-08    0.64486E-13
   462    0.12535E+02    0.87141E+01    0.60242E-07    0.87141E+01    0.14209E+02    0.31852E-08    0.60242E-07    0.31852E-08    0.63995E-13
   463    0.12423E+02    0.85289E+01    0.59812E-07    0.85289E+01    0.14029E+02    0.31555E-08    0.59812E-07    0.31555E-08    0.63509E-13
   464    0.12276E+02    0.83626E+01    0.59384E-07    0.83626E+01    0.13848E+02    0.31246E-08    0.59384E-07    0.31246E-08    0.63027E-13
   465    0.12101E+02    0.81857E+01    0.58960E-07    0.81857E+01    0.13667E+02    0.30927E-08    0.58960E-07    0.30927E-08    0.62550E-13
   466    0.11979E+02    0.80208E+01    0.58539E-07    0.80208E+01    0.13486E+02    0.30597E-08    0.58539E-07    0.30597E-08    0.62077E-13
   467    0.11916E+02    0.78533E+01    0.58120E-07    0.78533E+01    0.13305E+02    0.30257E-08    0.58120E-07    0.30257E-08    0.61609E-13
   468    0.11770E+02    0.76910E+01    0.57705E-07    0.76910E+01    0.13125E+02    0.29908E-08    0.57705E-07    0.29908E-08    0.61145E-13
   469    0.11622E+02    0.75266E+01    0.57292E-07    0.75266E+01    0.12944E+02    0.29549E-08    0.57292E-07    0.29549E-08    0.60685E-13
   470    0.11552E+02    0.73680E+01    0.56883E-07    0.73680E+01    0.12764E+02    0.29182E-08    0.56883E-07    0.29182E-08    0.60230E-13
   471    0.11269E+02    0.72153E+01    0.56476E-07    0.72153E+01    0.12586E+02    0.28807E-08    0.56476E-07    0.28807E-08    0.59779E-13
   472    0.11152E+02    0.70615E+01    0.56072E-07    0.70615E+01    0.12407E+02    0.28424E-08    0.56072E-07    0.28424E-08    0.59331E-13
   473    0.10983E+02    0.69143E+01    0.55672E-07    0.69143E+01    0.12230E+02    0.28034E-08    0.55672E-07    0.28034E-08    0.58888E-13
   474    0.10844E+02    0.67665E+01    0.55274E-07    0.67665E+01    0.12053E+02    0.27637E-08    0.55274E-07    0.27637E-08    0.58450E-13
   475    0.10741E+02    0.66258E+01    0.54880E-07    0.66258E+01    0.11877E+02    0.27234E-08    0.54880E-07    0.27234E-08    0.58015E-13
   476    0.10532E+02    0.64904E+01    0.54488E-07    0.64904E+01    0.11702E+02    0.26824E-08    0.54488E-07    0.26824E-08    0.57584E-13
   477    0.10296E+02    0.63508E+01    0.54099E-07    0.63508E+01    0.11528E+02    0.26410E-08    0.54099E-07    0.26410E-08    0.57157E-13
   478    0.10116E+02    0.62258E+01    0.53714E-07    0.62258E+01    0.11355E+02    0.25990E-08    0.53714E-07    0.25990E-08    0.56734E-13
   479    0.99231E+01    0.60914E+01    0.53331E-07    0.60914E+01    0.11184E+02    0.25566E-08    0.53331E-07    0.25566E-08    0.56315E-13
   480    0.97234E+01    0.59670E+01    0.52952E-07    0.59670E+01    0.11014E+02    0.25138E-08    0.52952E-07    0.25138E-08    0.55899E-13
   481    0.95236E+01    0.58492E+01    0.52575E-07    0.58492E+01    0.10846E+02    0.24706E-08    0.52575E-07    0.24706E-08    0.55488E-13
   482    0.94043E+01    0.57324E+01    0.52202E-07    0.57324E+01    0.10679E+02    0.24271E-08    0.52202E-07    0.24271E-08    0.55080E-13
   483    0.91491E+01    0.56146E+01    0.51831E-07    0.56146E+01    0.10514E+02    0.23833E-08    0.51831E-07    0.23833E-08    0.54676E-13
   484    0.88385E+01    0.55022E+01    0.51464E-07    0.55022E+01    0.10351E+02    0.23393E-08    0.51464E-07    0.23393E-08    0.54275E-13
   485    0.87019E+01    0.53938E+01    0.51099E-07    0.53938E+01    0.10190E+02    0.22951E-08    0.51099E-07    0.22951E-08    0.53878E-13
   486    0.85228E+01    0.52875E+01    0.50738E-07    0.52875E+01    0.10031E+02    0.22508E-08    0.50738E-07    0.22508E-08    0.53485E-13
   487    0.83075E+01    0.51836E+01    0.50380E-07    0.51836E+01    0.98744E+01    0.22064E-08    0.50380E-07    0.22064E-08    0.53095E-13
   488    0.80624E+01    0.50832E+01    0.50024E-07    0.50832E+01    0.97191E+01    0.21620E-08    0.50024E-07    0.21620E-08    0.52709E-13
   489    0.78682E+01    0.49850E+01    0.49672E-07    0.49850E+01    0.95666E+01    0.21175E-08    0.49672E-07    0.21175E-08    0.52326E-13
   490    0.77313E+01    0.48901E+01    0.49323E-07    0.48901E+01    0.94169E+01    0.20731E-08    0.49323E-07    0.20731E-08    0.51947E-13
   491    0.74352E+01    0.47958E+01    0.48977E-07    0.47958E+01    0.92693E+01    0.20288E-08    0.48977E-07    0.20288E-08    0.51571E-13
   492    0.72834E+01    0.47031E+01    0.48634E-07    0.47031E+01    0.91246E+01    0.19847E-08    0.48634E-07    0.19847E-08    0.51198E-13
   493    0.71338E+01    0.46138E+01    0.48294E-07    0.46138E+01    0.89811E+01    0.19407E-08    0.48294E-07    0.19407E-08    0.50829E-13
   494    0.69926E+01    0.45245E+01    0.47958E-07    0.45245E+01    0.88420E+01    0.18970E-08    0.47958E-07    0.18970E-08    0.50463E-13
   495    0.67920E+01    0.44369E+01    0.47624E-07    0.44369E+01    0.87049E+01    0.18535E-08    0.47624E-07    0.18535E-08    0.50100E-13
   496    0.66127E+01    0.43498E+01    0.47294E-07    0.43498E+01    0.85714E+01    0.18103E-08    0.47294E-07    0.18103E-08    0.49740E-13
   497    0.64611E+01    0.42644E+01    0.46966E-07    0.42644E+01    0.84407E+01    0.17676E-08    0.46966E-07    0.17676E-08    0.49384E-13
   498    0.63435E+01    0.41778E+01    0.46642E-07    0.41778E+01    0.83121E+01    0.17252E-08    0.46642E-07    0.17252E-08    0.49030E-13
   499    0.63405E+01    0.40933E+01    0.46321E-07    0.40933E+01    0.81878E+01    0.16833E-08    0.46321E-07    0.16833E-08    0.48680E-13
   500    0.63101E+01    0.40068E+01    0.46003E-07    0.40068E+01    0.80655E+01    0.16419E-08    0.46003E-07    0.16419E-08    0.48332E-13
   501    0.61833E+01    0.39202E+01    0.45688E-07    0.39202E+01    0.79475E+01    0.16010E-08    0.45688E-07    0.16010E-08    0.47988E-13
   502    0.62588E+01    0.38340E+01    0.45376E-07    0.38340E+01    0.78331E+01    0.15607E-08    0.45376E-07    0.15607E-08    0.47646E-13
   503    0.62403E+01    0.37470E+01    0.45067E-07    0.37470E+01    0.77214E+01    0.15208E-08    0.45067E-07    0.15208E-08    0.47307E-13
   504    0.62024E+01    0.36612E+01    0.44761E-07    0.36612E+01    0.76134E+01    0.14816E-08    0.44761E-07    0.14816E-08    0.46972E-13
   505    0.63688E+01    0.35738E+01    0.44459E-07    0.35738E+01    0.75096E+01    0.14428E-08    0.44459E-07    0.14428E-08    0.46639E-13
