#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    42    0.24160E+03   -0.27243E+01    0.27038E-04   -0.27243E+01    0.63166E-01    0.96389E-08    0.27038E-04    0.96389E-08    0.58152E-10
    43    0.24672E+03   -0.28634E+01    0.25889E-04   -0.28634E+01    0.68322E-01    0.10677E-07    0.25889E-04    0.10677E-07    0.55309E-10
    44    0.25168E+03   -0.30072E+01    0.24808E-04   -0.30072E+01    0.73726E-01    0.11040E-07    0.24808E-04    0.11040E-07    0.52652E-10
    45    0.25680E+03   -0.31560E+01    0.23791E-04   -0.31560E+01    0.79373E-01    0.10441E-07    0.23791E-04    0.10441E-07    0.50164E-10
    46    0.26200E+03   -0.33112E+01    0.22831E-04   -0.33112E+01    0.85257E-01    0.87130E-08    0.22831E-04    0.87130E-08    0.47829E-10
    47    0.26711E+03   -0.34717E+01    0.21925E-04   -0.34717E+01    0.91382E-01    0.61600E-08    0.21925E-04    0.61600E-08    0.45638E-10
    48    0.27209E+03   -0.36323E+01    0.21070E-04   -0.36323E+01    0.97760E-01    0.32043E-08    0.21070E-04    0.32043E-08    0.43579E-10
    49    0.27702E+03   -0.37890E+01    0.20261E-04   -0.37890E+01    0.10438E+00    0.26796E-09    0.20261E-04    0.26796E-09    0.41643E-10
    50    0.28214E+03   -0.39441E+01    0.19496E-04   -0.39441E+01    0.11122E+00   -0.22267E-08    0.19496E-04   -0.22267E-08    0.39820E-10
    51    0.28722E+03   -0.41018E+01    0.18770E-04   -0.41018E+01    0.11826E+00   -0.39530E-08    0.18770E-04   -0.39530E-08    0.38101E-10
    52    0.29249E+03   -0.42666E+01    0.18082E-04   -0.42666E+01    0.12559E+00   -0.49657E-08    0.18082E-04   -0.49657E-08    0.36480E-10
    53    0.29754E+03   -0.44415E+01    0.17430E-04   -0.44415E+01    0.13333E+00   -0.54152E-08    0.17430E-04   -0.54152E-08    0.34949E-10
    54    0.30229E+03   -0.46215E+01    0.16810E-04   -0.46215E+01    0.14149E+00   -0.54517E-08    0.16810E-04   -0.54517E-08    0.33503E-10
    55    0.30695E+03   -0.48013E+01    0.16221E-04   -0.48013E+01    0.15003E+00   -0.52256E-08    0.16221E-04   -0.52256E-08    0.32135E-10
    56    0.31171E+03   -0.49821E+01    0.15660E-04   -0.49821E+01    0.15881E+00   -0.48667E-08    0.15660E-04   -0.48667E-08    0.30840E-10
    57    0.31652E+03   -0.51636E+01    0.15126E-04   -0.51636E+01    0.16773E+00   -0.44235E-08    0.15126E-04   -0.44235E-08    0.29612E-10
    58    0.32137E+03   -0.53468E+01    0.14617E-04   -0.53468E+01    0.17678E+00   -0.39243E-08    0.14617E-04   -0.39243E-08    0.28448E-10
    59    0.32615E+03   -0.55324E+01    0.14132E-04   -0.55324E+01    0.18602E+00   -0.33970E-08    0.14132E-04   -0.33970E-08    0.27344E-10
    60    0.33085E+03   -0.57197E+01    0.13669E-04   -0.57197E+01    0.19550E+00   -0.28698E-08    0.13669E-04   -0.28698E-08    0.26295E-10
    61    0.33577E+03   -0.59080E+01    0.13226E-04   -0.59080E+01    0.20531E+00   -0.23706E-08    0.13226E-04   -0.23706E-08    0.25298E-10
    62    0.34033E+03   -0.60980E+01    0.12803E-04   -0.60980E+01    0.21545E+00   -0.19257E-08    0.12803E-04   -0.19257E-08    0.24350E-10
    63    0.34473E+03   -0.62907E+01    0.12399E-04   -0.62907E+01    0.22586E+00   -0.15613E-08    0.12399E-04   -0.15613E-08    0.23447E-10
    64    0.34925E+03   -0.64870E+01    0.12012E-04   -0.64870E+01    0.23657E+00   -0.13034E-08    0.12012E-04   -0.13034E-08    0.22588E-10
    65    0.35352E+03   -0.66877E+01    0.11642E-04   -0.66877E+01    0.24753E+00   -0.11782E-08    0.11642E-04   -0.11782E-08    0.21770E-10
    66    0.35781E+03   -0.68906E+01    0.11287E-04   -0.68906E+01    0.25868E+00   -0.12090E-08    0.11287E-04   -0.12090E-08    0.20990E-10
    67    0.36197E+03   -0.70935E+01    0.10948E-04   -0.70935E+01    0.27002E+00   -0.14075E-08    0.10948E-04   -0.14075E-08    0.20246E-10
    68    0.36627E+03   -0.72950E+01    0.10622E-04   -0.72950E+01    0.28160E+00   -0.17827E-08    0.10622E-04   -0.17827E-08    0.19536E-10
    69    0.37049E+03   -0.74938E+01    0.10309E-04   -0.74938E+01    0.29337E+00   -0.23435E-08    0.10309E-04   -0.23435E-08    0.18859E-10
    70    0.37475E+03   -0.76921E+01    0.10010E-04   -0.76921E+01    0.30538E+00   -0.30990E-08    0.10010E-04   -0.30990E-08    0.18212E-10
    71    0.37891E+03   -0.78924E+01    0.97218E-05   -0.78924E+01    0.31761E+00   -0.40324E-08    0.97218E-05   -0.40324E-08    0.17593E-10
    72    0.38296E+03   -0.80957E+01    0.94452E-05   -0.80957E+01    0.33004E+00   -0.50235E-08    0.94452E-05   -0.50235E-08    0.17002E-10
    73    0.38687E+03   -0.83022E+01    0.91794E-05   -0.83022E+01    0.34264E+00   -0.59268E-08    0.91794E-05   -0.59268E-08    0.16436E-10
    74    0.39065E+03   -0.85104E+01    0.89237E-05   -0.85104E+01    0.35539E+00   -0.65963E-08    0.89237E-05   -0.65963E-08    0.15894E-10
    75    0.39440E+03   -0.87183E+01    0.86777E-05   -0.87183E+01    0.36831E+00   -0.68864E-08    0.86777E-05   -0.68864E-08    0.15375E-10
    76    0.39806E+03   -0.89250E+01    0.84407E-05   -0.89250E+01    0.38140E+00   -0.67030E-08    0.84407E-05   -0.67030E-08    0.14878E-10
    77    0.40169E+03   -0.91305E+01    0.82124E-05   -0.91305E+01    0.39464E+00   -0.61586E-08    0.82124E-05   -0.61586E-08    0.14401E-10
    78    0.40533E+03   -0.93368E+01    0.79925E-05   -0.93368E+01    0.40807E+00   -0.54177E-08    0.79925E-05   -0.54177E-08    0.13943E-10
    79    0.40883E+03   -0.95406E+01    0.77804E-05   -0.95406E+01    0.42162E+00   -0.46445E-08    0.77804E-05   -0.46445E-08    0.13505E-10
    80    0.41230E+03   -0.97436E+01    0.75760E-05   -0.97436E+01    0.43531E+00   -0.40034E-08    0.75760E-05   -0.40034E-08    0.13083E-10
    81    0.41566E+03   -0.99470E+01    0.73787E-05   -0.99470E+01    0.44907E+00   -0.36261E-08    0.73787E-05   -0.36261E-08    0.12679E-10
    82    0.41898E+03   -0.10150E+02    0.71883E-05   -0.10150E+02    0.46294E+00   -0.35133E-08    0.71883E-05   -0.35133E-08    0.12290E-10
    83    0.42218E+03   -0.10353E+02    0.70045E-05   -0.10353E+02    0.47689E+00   -0.36334E-08    0.70045E-05   -0.36334E-08    0.11917E-10
    84    0.42536E+03   -0.10554E+02    0.68271E-05   -0.10554E+02    0.49091E+00   -0.39546E-08    0.68271E-05   -0.39546E-08    0.11558E-10
    85    0.42837E+03   -0.10754E+02    0.66558E-05   -0.10754E+02    0.50498E+00   -0.44451E-08    0.66558E-05   -0.44451E-08    0.11213E-10
